,precision,recall,f1-score,support
Walking,0.9552529182879378,0.9899193548387096,0.9722772277227723,496.0
Upstairs,0.8893617021276595,0.8874734607218684,0.8884165781083954,471.0
Downstairs,0.9180327868852459,0.9333333333333333,0.9256198347107438,420.0
Sitting,0.7624521072796935,0.8105906313645621,0.7857847976307996,491.0
Standing,0.8214285714285714,0.7781954887218046,0.7992277992277992,532.0
Laying,1.0,0.9497206703910615,0.9742120343839542,537.0
accuracy,0.8900576857821514,0.8900576857821514,0.8900576857821514,0.8900576857821514
macro avg,0.8910880143348513,0.8915388232285565,0.8909230452974106,2947.0
weighted avg,0.8912903170475321,0.8900576857821514,0.8902665188694119,2947.0
