,precision,recall,f1-score,support
Walking,0.9763779527559056,1.0,0.9880478087649402,496.0
Upstairs,0.8915187376725838,0.9596602972399151,0.9243353783231084,471.0
Downstairs,0.9764150943396226,0.9857142857142858,0.981042654028436,420.0
Sitting,0.8617511520737328,0.7617107942973523,0.8086486486486486,491.0
Standing,0.8368794326241135,0.8872180451127819,0.8613138686131386,532.0
Laying,1.0,0.9497206703910615,0.9742120343839542,537.0
accuracy,0.9222938581608415,0.9222938581608415,0.9222938581608415,0.9222938581608415
macro avg,0.9238237282443263,0.9240040154592327,0.9229333987937043,2947.0
weighted avg,0.9228445210239528,0.9222938581608415,0.921577508680827,2947.0
